#Table1,,,,,
u,g,r,i,z,redshift
25.16339,21.59082,19.95185,18.88902,18.38078,0.5310293
25.32698,22.76405,20.679,19.51875,19.00516,0.5961921
18.88838,17.88406,17.42734,17.12453,16.98339,0.08640119
22.02679,19.71558,18.17657,17.61969,17.2907,0.2741991
21.44632,19.47453,18.08515,17.50222,17.05991,0.2740807
23.28934,20.61963,18.86627,18.16001,17.82668,0.3789229
24.2853,21.06295,19.36375,18.69707,18.32684,0.3811998
24.25381,22.57248,20.88692,19.85464,19.2868,0.6067722
22.63773,21.93935,20.87341,19.91617,19.60823,0.592391
21.38818,20.98837,20.94017,20.92393,20.64527,2.288554
24.07184,22.09974,20.53595,19.52118,19.08535,0.5986513
22.17271,22.42423,21.56808,20.26622,19.92523,0.7851072
24.52095,22.43142,21.03899,20.07333,19.73346,0.5995028
23.37193,22.0613,20.44746,19.46533,19.02549,0.5092795
19.3652,18.1399,17.65534,17.4715,17.37664,6.526825E-05
17.92943,16.42391,15.79249,15.47063,15.23182,0.02614107
17.14729,15.85645,15.21062,14.84574,14.52751,0.0270632
17.80781,16.93552,16.67188,16.47706,16.3433,0.02961222
-9999,-9999,16.86128,16.54719,-9999,0.02760433
22.21467,21.22122,20.4823,19.58577,19.12029,0.6385242
23.43648,22.85169,21.18884,20.27574,19.77018,0.457288
23.5374,21.99595,20.54944,19.257,18.79187,0.5591541
23.46579,21.75552,20.16983,19.25415,18.84288,0.5586289
25.61665,22.44949,20.83171,19.81345,19.14171,0.5597351
22.80613,21.98163,20.2564,19.45333,18.93341,0.4856156
23.47967,22.53637,20.3082,19.40907,19.13257,0.4864624
19.7874,18.41811,17.8602,17.5051,17.36492,0.08248106
24.42244,23.10045,21.88996,19.01678,17.51012,-6.63E-05
23.634,23.28092,20.76994,19.64815,19.44533,0.5608714
18.45884,16.44801,15.54898,15.10957,14.77067,0.0592591
18.83467,16.87045,15.92178,15.46264,15.12855,0.08257761
26.72437,24.01673,21.32557,20.08875,19.69714,0.6257228
24.02698,22.64627,20.69296,19.79259,19.41997,0.5556246
23.02787,22.01362,20.55261,19.51554,19.13069,0.5400184
23.53089,21.98262,20.48392,19.62669,19.14925,0.428728
17.30749,15.6382,14.85252,14.41335,14.09335,0.04918197
19.48431,17.65862,16.82022,16.41256,16.10751,0.04922657
19.21763,18.28073,18.06736,17.95251,17.96859,-0.000559592
23.5119,22.11012,21.17118,20.24695,19.85745,0.6439475
23.62324,21.95441,20.4329,19.51991,19.04575,0.4700649
24.72478,21.75401,20.90503,19.79572,19.08244,0.000121614
18.31448,16.3301,15.37186,14.92445,14.57653,0.08377565
26.12884,22.28397,20.4648,19.55371,19.0271,0.4700756
23.25792,21.4551,19.9136,19.1277,18.66659,0.4300652
22.48006,21.87529,20.43563,19.59201,19.1067,0.5260767
24.56205,21.98405,20.32754,19.52832,19.09313,0.4272205
22.53481,21.82916,20.196,19.34683,18.79166,0.5242342
21.85494,21.10213,21.2896,21.14559,21.33167,2.342063
23.50444,20.87574,19.15749,18.47739,18.04066,0.3550176
19.13308,17.40575,16.62545,16.24547,15.949,0.0540957
19.77628,18.35387,17.65344,17.24358,16.98335,0.1061896
25.13223,23.36177,21.58876,20.42628,19.95559,0.5697031
25.85052,23.38362,21.20464,20.1167,19.64223,0.5873379
23.78055,22.67433,20.9603,20.02065,19.48527,0.5249539
25.08353,22.17187,20.60787,19.56796,19.14727,0.5558363
25.31934,22.37041,20.74271,19.61586,19.09044,0.588895
23.52299,21.69885,20.07348,19.16276,18.74416,0.4832365
19.96144,17.97585,16.94796,16.4962,16.11377,0.1063695
19.87659,18.03741,16.8552,16.32941,15.9673,0.1604116
20.52358,18.65342,17.65132,17.21425,16.85205,0.1067601
24.06942,21.59675,19.66729,18.78331,18.28715,0.5224262
23.64405,22.33521,20.43087,19.38898,19.0469,0.5676357
